hi,スキャン用,JANコード,区分,商品名,規格,製造会社,納入業者,納入価格,単価,入数,定数,発注単位,発注点,使用方法及び説明,発注条件,交換パーツ,添付文書
1ID0117,,493192189938,生体情報モニタ,成人用カフ（標準） ﾎﾟﾘｸﾞﾗﾌ,YP-713T,日本光電,フォーム,,4400,,2,本,,成人用カフ（標準） ﾎﾟﾘｸﾞﾗﾌ,,,
1ID0118,,493192189924,心カテ関連,ﾋﾞﾄﾛｰﾄﾞ 2本リード線(150mm) 6色,V-74016(G299O),日本光電,フォーム,,1779,,1,箱,,"アブレーション用2本心電図電極胸部用
 ID:003889",,,
1ID0119,,4931921893265,除細動器,使い捨てパッド P-700シリーズ,P-711,日本光電,フォーム,,,,,個,,除細動器で使用,,,
1ID0120,,493192186783,生体情報モニタ,TL-260T クリップアダプタ,P256,日本光電,フォーム,,7500,,,個,,,,,
1ID0121,,493192186457,除細動器,バッテリーパック NKB-301V,NKB-301V,日本光電,フォーム,,21420,,,個,,除細動器TEC-5600ｼﾘｰｽﾞのﾊﾞｯﾃﾘ,,TRUE,
1ID0122,,493192186335,生体情報モニタ,TL-260T マルチYプローブ,P205A,日本光電,フォーム,,5640,,,箱,,,,TRUE,
1ID0123,,493192185271,生体情報モニタ,フィンガープローブ1.6m(ﾎﾟﾘｸﾞﾗﾌ),TL-201T,日本光電,フォーム,,35200,,2,本,,フィンガープローブ1.6m(ﾎﾟﾘｸﾞﾗﾌ),,TRUE,
1ID0124,,493192184026,生体情報モニタ,成人用中継エアホース 3.5m(ﾎﾟﾘｸﾞﾗﾌ),YN-901P,日本光電,フォーム,,13728,,2,本,,成人用中継エアホース 3.5m(ﾎﾟﾘｸﾞﾗﾌ),,TRUE,
1ID0125,,493192183978,生体情報モニタ,血圧中継コード（ポリグラフ),JP-910P,日本光電,フォーム,,21120,,2,本,,ポリグラフの血圧中継コード,,TRUE,
1ID0126,,493192183975,生体情報モニタ,SPO2中継コード 2.5m(ﾎﾟﾘｸﾞﾗﾌ),JL-900P,日本光電,フォーム,,15840,,2,本,,ポリグラフのSPO2中継コード 2.5m,,TRUE,
1ID0127,,493192183973,生体情報モニタ,ECG中継コード(ﾎﾟﾘｸﾞﾗﾌ),JC-900P,日本光電,フォーム,,84480,,2,本,,ポリグラフのECG中継ケーブル,,TRUE,
1ID0128,,4931921510049,人工呼吸器,抵抗付金属フィルタキット,VV029,日本光電,フォーム,,8400,,,個,,HAMILTONにて使用,随時発注,TRUE,
1ID0130,,4931921505816,人工呼吸器,HEPAフィルタ C1,V402,日本光電,フォーム,,6400,,,,,HAMILTONにて使用,,TRUE,
1ID0131,,493192101100,人工呼吸器,呼吸器ﾌﾛｰｾﾝｻ,V439E,日本光電,日本光電,,,,2,箱,,ハミルトンCiに必要なﾌﾛｰｾﾝｻ,,TRUE,
1ID0132,,4905524799170,その他,ブルーレイディスク BD-RE DL 50GB ５枚,5BNE2DCPS2,SONY,,,,,,セット,,データバックアップとして使用,,,
1ID0133,,4905429104444,その他,広巾マジックテープ 100㎜巾粘着剤付,CP-26,クラレファスニング株式会社,,,591,,,個,,,,,
1ID0134,,4904681639275,その他,シーズンズ ペーパーカップ 205ml 30個入り,3720211020C14,大和物産株式会社,,,,,1,袋,,,,,
1ID0135,,4904681500353,その他,つまようじ,,,,,,,,つ,,機器メンテ用,,,
1ID0136,,4902870668556,その他,ホッチキス本体,,,,,,,,個,,,,,
1ID0137,,4902111767796,その他,ジフ クリームクレンザー,クレンザー,ﾕﾆﾘｰﾊﾞ･ｼﾞｬﾊﾟﾝ,,,,,,本,,シンク用洗浄剤,,,
1ID0138,,4901690001949,その他,スコッチ 電気絶縁テープ,EL-12,スリーエム,,,,,,個,,,,,
1ID0139,,4901490312047,その他,瞬間接着剤,,,,,,,,,,,,,
1ID0140,,4901490101320,その他,ボンド,,,,,,,,個,,木工用,,,
1ID0141,,4901480294070,その他,穴あけパンチ,,,,,,,,個,,,,,
1ID0142,,4901480138749,その他,FLAT FILE V,フ-V10B,コクヨ,,,,,,個,,書類整理にて使用,,,
1ID0143,,471096971384,その他手術室関連,ｴｺｰﾌﾟﾛｰﾌﾞｶﾊﾞｰⅡ(150cm),P09150,ﾌｼﾞﾒﾃﾞｨｶﾙ,フォーム,,850,,1,箱,,滅菌ｴｺｰﾌﾟﾛｰﾌﾞｶﾊﾞｰ,,,
1ID0144,,4589867112256,心カテ関連,サーミスタ延長ケーブル,SP-4035-1,日本光電,フォーム,,69000,,1,本,,心拍出量を測定するための延長ケーブル,,,
1ID0145,,4589711380053,生体情報モニタ,心電リード線2・タイプC3T（90cm）,HBP-ECG2-LC3,フクダコーリン,,,,,,本,,OPE室BP-608ECGの3極電極。,,,
1ID0146,,4589638248160,その他,"Economy Cylinders,VOL 25ml",6404205-1225,AS ONE,,,,,,個,,輸液ポンプのメンテナンス時に使用,,,
1ID0147,,458236032002,パルスオキシメータ,オキシパルミニSAT-2200 専用プローブ SSP-001,SSP-001,日本光電,,,,,,,,,,,
1ID0148,,458235017581,その他,フロージェントル アイハー,３１８２２１MS,,,,,,,個,,,,,
1ID0149,,458235017204,アウトレット,二又アウトレット MS-O(酸素),305301,小池メディカル,小池メディカル,,14500,,2,台,,2又酸素アウトレット,,,
1ID0150,010458223533003021A173122,4582235330030,麻酔器,エンビテック 酸素センサ,OOM102-1,株式会社アイビジョン,中辻医科器械,,,,,個,,麻酔器にて使用するO2セル。酸素センサー,,TRUE,
1ID0151,,4580755620167,生体情報モニタ,ﾘﾕｰｻﾞﾌﾞﾙｻﾝｻDS100-A同等品 ﾌｨﾝｶﾞ-ﾀｲﾌﾟ大人用,1153C11A,アイセンス(株),フォーム,,25000,,1,個,,ﾘﾕｰｻﾞﾌﾞﾙｻﾝｻDS100-A同等品 ﾌｨﾝｶﾞ-ﾀｲﾌﾟ大人用 SPO2プローブ,,TRUE,
1ID0152,,4580473943265,除細動器,感熱記録紙,989803190381,フィリップス,,,,,1,箱,,,,,
1ID0153,,458047394296,除細動器,DFMリチウムイオンバッテリ,989803190371,フィリップス,フォーム,,,,,個,,DFM100のバッテリ。3年毎に交換。,,,
1ID0154,,4573513203009,ラミネートテープ,brother Tze 相互テープ 緑テープ白インク 18mm,BPT-TZE-745,プリンタス（株）,,,,,,個,,P-touch用緑テープ白インク 18mm（点検済み用シール）,,,
1ID0155,,457123752475,生体情報モニタ,SPO2中継コード,CI-129,フクダ電子,フクダ電子,,,,,本,,LX-7230用SPO2中継コード,,,
1ID0156,,457111116373,生体情報モニタ,ﾒﾘｯﾄ ｲﾝﾀｰﾌｪｲｽｹｰﾌﾞﾙNK 5PIN（MEC100）ﾎﾟﾘｸﾞﾗﾌ,0310-1383,日本光電,フォーム,,43160,,3,本,,A圧トランスデューサ用ケーブル(ﾎﾟﾘｸﾞﾗﾌ)用,,,
1ID0157,,457111044906,人工呼吸器,ｴﾚｸﾄﾘｶﾙｱﾀﾞﾌﾟﾀ(MR850用ﾁﾃﾞｭｱﾙﾋｰﾄ),MG5601,株式会社tkb,日本光電,,,,2,本,,MR850用ﾋｰﾀｰｹｰﾌﾞﾙ,,,
1ID0158,,457110409755,心カテ関連,FIAB 中継ケーブル,F7816/33JP,大正医科器械,フォーム,,28000,,1,本,,テンポラリーペースメーカのカテーテルと本体の中継ケーブル,,,
1ID0159,,4570138121190,除細動器,防水型外部パドル,989803196431,フィリップス,フォーム,,128700,,,個,,DFM100用の外部パドル,,,
1ID0160,,4562345601442,その他,ゴミ袋 45L 半透明（0.03㎜*65㎝＊80㎝）,SB-2,セイケツネットワーク,,,,,,袋,,ゴミ分別のため使用,,,
1ID0161,,456219216094,ネブライザー,ミリコンCube,KN-80S,株式会社興伸工業,フォーム,,,,,個,,非加熱式ネブライザ本体,,,
1ID0162,,4562140190608,心カテ関連,イメージングカバー,Ⅱ-150(120),メディテックジャパン,フォーム,,,,1,箱,,イメージングカバー,,,
1ID0163,,456214015059,,ｼｭｰｽﾞｶﾊﾞｰ ｼｮｰﾄﾀｲﾌﾟ滑り止め付き,SC-S,メディテックジャパン,フォーム,,30,,1,箱,,ｼｭｰｽﾞｶﾊﾞｰ,,,
1ID0164,,456213380838,生体情報モニタ,ポールマウント（グリップシキ）,UDMHCLIP,エドワーズライフサイエンス,フォーム,,4500,,,個,,必要時,,,
1ID0165,,456037324056,人工呼吸器,バリベントS,300-400-000J,株式会社トータルメディカルサプライ,フォーム,,,,,箱,,呼吸器病棟へ出荷時に装着,,,
1ID0166,,456037324055,人工呼吸器,ﾊﾞﾘﾍﾞﾝﾄ,300-300-000J,ﾄｰﾀﾙﾒﾃﾞｨｶﾙｻﾌﾟﾗｲ,フォーム,,,,,箱,,人工呼吸器用除去フィルタ,,,
