hi,スキャン用,JANコード,区分,商品名,規格,製造会社,納入業者,納入価格,単価,入数,定数,発注単位,発注点,使用方法及び説明,発注条件,交換パーツ,添付文書
1ID0198,,0843997000406,生体情報モニタ,マシモSETセンサLNCSリユーサブル指用Spo2センサ,LNCS DCI 1863,Masimo,フクダ電子,,,,,箱,,ベッドサイドモニタで使用するSpo2センサ,,TRUE,
1ID0199,01008439970000481024MJW,0843997000048,生体情報モニタ,ﾘﾕｰｻﾞﾌﾞﾙ耳用SPO2センサ,LNCS TC-I 1895,フクダ電子,フォーム,,84000,,1,個,,ﾏｼﾓの耳用SPO2センサでOPE室で使用,,TRUE,
1ID0200,,84068210334,パルスオキシメータ,Trusignal フィンガーセンサ,TS-F1-H,GEヘルスケア,八神製作所,,,,,本,,タフサックパルスオキシメーターで使用するセンサﾌﾟﾛｰﾌﾞ,,,
1ID0201,010694116503841217281021102025101620,6941165038412,心カテ関連,LeapMedエコープローブカバー14*150cm,10502602,ｴﾑ･ｼｰﾒﾃﾞｨｶﾙ,フォーム,,,24,2,箱,,ｴｺｰﾌﾟﾛｰﾌﾞｶﾊﾞｰ2025/5最新,定数キープ,FALSE,
1ID0202,,69010321050,生体情報モニタ,TWケーブル フクダ電子用,UD896031021,エドワーズライフサイエンス株式会社,フォーム,,,,,個,,,,,
1ID0203,,69010319785,生体情報モニタ,TWケーブル,UDPXFKD3,エドワーズライフサイエンス,フォーム,,14000,,,本,,必要時,,TRUE,
1ID0204,,4538612057427,生体情報モニタ,心電計ケーブル及びリード,CMT-01CTH-0.8D,フクダ電子株式会社,フォーム,,,1,2,本,,,定数キープ,TRUE,
1ID0205,0104538612061851102250103198,4538612061851,生体情報モニタ,心電図用誘導リード　クリアリードⅢ  CMO-N,CMO-03NTG-0.9U,フクダ電子,フォーム,,,1,1,本,,リハビリ室用の医用テレメータのリード,定数キープ,,
1ID0206,0104931921864579210507486,4931921864579,除細動器,バッテリパック　NKB-301V,YZ-024H9,日本光電,フォーム,,,1,,個,,除細動器のバッテリ,随時発注,,
6e471e5c,01045386120574271057GF29,4538612057427,生体情報モニタ,クリアリードIICMT,CMT-01CTH-0.8D,フクダ電子,フォーム,8500,,1,2,個,1,病棟用医用テレメーターのリード,定数キープ,TRUE,
f477d4c9,4969887837740,4969887837740,外来関連,電源コード（眼鏡型・2P・ストレートコネクタ・2m）,KB-DM2S-2,サンワサプライ,,1100,,1,,本,,ネブライザーの電源ケーブル。家庭でも使えるので2Ｐプラグ。接続部：眼鏡型。,随時発注,TRUE,
c76da008,,4545499D66459,低圧持続吸引機,SD 本体廃液チューブ,MD-80025,SBカワスミ,八神製作所,5500,1100,5,1,ケース,1,ハマサーボのコネクティングチューブ。ワンタッチ型,定数キープ,TRUE,
61ce6f53,01045804739413771007-2017,4580473941377,除細動器,体表用除細動電極,M3543A,フィリップ・ジャパン,フォーム,89000,89000,1,,個,,DFM100の体外除細動パドル,随時発注,TRUE,
